Feature,Weight
bias,0.010411065495634473
Inches,0.038324628726662986
Cpu,0.15138821586347703
Ram,0.2959126530740672
Weight,0.16612302082456004
touch,0.009849424849172199
px_width,0.04489471367244319
px_height,0.04867556253369546
ips_panel,-0.021670713654468873
4k,0.05272142716419536
hd,-0.02175770834365665
SSD,0.23090985765589078
HDD,-0.0035564993045878804
FLASH,0.03675421620358775
gpu_entry,0.06038053421594307
OpSys_Chrome OS,0.007649069489545862
OpSys_Linux,-0.030547704722639662
OpSys_Mac OS X,0.0
OpSys_No OS,-0.054538064002637165
OpSys_Windows 10,0.006500473259767374
OpSys_Windows 10 S,0.012600023989795582
OpSys_Windows 7,0.09229101673401881
OpSys_macOS,0.0
Type_Gaming,0.0010581590891785143
Type_Netbook,0.006606331047164269
Type_Notebook,-0.06382834559232137
Type_Ultrabook,0.04006315430605397
Type_Workstation,0.12727748493183277
