Feature,Weight
bias,0.009011685911767637
Inches,-0.013399709359651584
Cpu,0.13758886576890209
Ram,0.3080198117109856
Weight,0.08679483045495262
touch,0.02839803612232087
px_width,0.07697350878385248
px_height,0.07955968318621505
ips_panel,0.01364751176330006
4k,0.0046162474566108684
hd,-0.01865953106678034
SSD,0.22580637121989336
HDD,-0.0197964980793208
FLASH,0.00673762036075887
gpu_entry,0.0023260059824613028
OpSys_Chrome OS,-0.025081673554325227
OpSys_Linux,-0.04241832174658899
OpSys_Mac OS X,0.01855883928330468
OpSys_No OS,-0.06499732318950743
OpSys_Windows 10,-0.0028627138697989813
OpSys_Windows 10 S,0.010718041018741974
OpSys_Windows 7,0.10638826014139495
OpSys_macOS,0.03307617979028495
Type_Gaming,0.005444546595001514
Type_Netbook,-0.013535200590925063
Type_Notebook,-0.10188363731450337
Type_Ultrabook,0.07150713379804192
Type_Workstation,0.11554923266076299
